source,dest,step_from,step_to,count
ADAMSMS,COLOMBIA,3,10,1
ADAMSMS,DOMINICAN REPUBLIC,5,10,2
ADAMSMS,DOMINICAN REPUBLIC,7,10,1
ADAMSMS,ECUADOR,3,10,20
ADAMSMS,ECUADOR,4,10,6
ADAMSMS,ECUADOR,5,10,12
ADAMSMS,ECUADOR,6,10,5
ADAMSMS,ECUADOR,10,10,1
ADAMSMS,EL SALVADOR,3,10,1
ADAMSMS,EL SALVADOR,5,10,2
ADAMSMS,EL SALVADOR,6,10,2
ADAMSMS,EL SALVADOR,8,10,1
ADAMSMS,GUATEMALA,6,10,5
ADAMSMS,HONDURAS,5,10,1
ADAMSMS,JENATLA,3,4,4
ADAMSMS,KANDIMN,3,4,1
ADAMSMS,NICARAGUA,3,10,6
ADAMSMS,NICARAGUA,4,10,2
ADAMSMS,NICARAGUA,5,10,1
ADAMSMS,NICARAGUA,6,10,3
ADAMSMS,PIC,5,6,1
ADAMSMS,PIC,6,7,1
ADAMSMS,SPMHOLD,4,5,1
ADLNTCA,IWAHOLD,3,4,1
BASILLA,ECUADOR,4,10,2
BASILLA,ECUADOR,5,10,1
BASILLA,ECUADOR,8,10,1
BASILLA,EL SALVADOR,5,10,1
BASILLA,EL SALVADOR,7,10,1
BASILLA,EROFCB,4,5,1
BASILLA,FSF,4,5,1
BASILLA,FSF,5,6,1
BASILLA,GUATEMALA,5,10,2
BASILLA,HONDURAS,4,10,1
BASILLA,IWAHOLD,7,8,1
BASILLA,NICARAGUA,3,10,3
BASILLA,NICARAGUA,4,10,1
BASILLA,PIC,4,5,2
BASILLA,PIC,6,7,1
BASILLA,RWCCMLA,7,8,1
BOONEKY,INPHOLD,4,5,3
BROKSTX,ADAMSMS,5,6,1
BROKSTX,GUATEMALA,5,10,1
BROKSTX,HONDURAS,9,10,1
BROKSTX,PINEPLA,5,6,1
BSAHOLD,GRAYSKY,2,3,8
BSAHOLD,GRAYSKY,3,4,1
BSAHOLD,GRAYSKY,4,5,4
BSAHOLD,INPHOLD,5,6,1
CASSCNE,NEMCCOI,2,3,8
CASSCNE,OMAHOLD,2,3,7
CASSCNE,OMAHOLD,5,6,1
CBENDTX,CBENDTX,5,6,8
CBENDTX,CBENDTX,6,7,5
CBENDTX,ECUADOR,5,10,1
CBENDTX,ECUADOR,6,10,9
CBENDTX,ECUADOR,7,10,5
CBENDTX,ELVDFTX,4,5,1
CBENDTX,FSF,6,7,2
CBENDTX,FSF,7,8,1
CBENDTX,PIC,4,5,1
CCAFLAZ,FSF,5,6,1
CCAFLAZ,IWAHOLD,7,8,1
CCAFLAZ,VENEZUELA,7,10,1
CCAHUTX,ECUADOR,4,10,4
CCAHUTX,ECUADOR,5,10,1
CCAHUTX,FSF,5,6,1
CCAHUTX,NICARAGUA,4,10,2
CHASEKS,KANHOLD,7,8,1
CHASEKS,KANHOLD,8,9,1
CIBOCNM,CIBOCNM,4,5,2
CIBOCNM,CIBOCNM,5,6,1
CIBOCNM,EPC,4,5,1
CIBOCNM,EROFCB,3,4,26
CIBOCNM,EROFCB,4,5,6
CIBOLNM,CIBOCNM,3,4,7
CPBDCKY,INPHOLD,4,5,8
CROWGMN,DOUGLWI,1,2,1
CROWGMN,EPCDFTX,2,3,1
CROWGMN,FREEBMN,2,3,1
CROWGMN,KANDIMN,2,3,30
CROWGMN,KANDIMN,4,5,1
CROWGMN,SHERBMN,2,3,15
CROWGMN,SOMALIA,3,10,1
CROWGMN,SPMHOLD,1,2,11
CROWGMN,SPMHOLD,2,3,83
CROWGMN,SPMHOLD,3,4,5
CROWGMN,SPMHOLD,4,5,15
CROWGMN,SPMHOLD,5,6,1
CROWGMN,SPMHOLD,6,7,2
DAKOTNE,OMAHOLD,2,3,2
DAKOTNE,OMAHOLD,3,4,8
DOUGLWI,EROFCB,2,3,2
DOUGLWI,EROFCB,4,5,1
DOUGLWI,EROFCB,5,6,1
DOUGLWI,SHERBMN,2,3,1
DOUGLWI,SPMHOLD,1,2,4
DOUGLWI,SPMHOLD,2,3,26
DOUGLWI,SPMHOLD,4,5,2
DOUGLWI,TAIWAN,1,10,1
EAZ,EAZ,2,3,1
EAZ,LAOS,3,10,1
EAZ,VENEZUELA,4,10,1
EAZ,VENEZUELA,9,10,1
ELVDFTX,BASILLA,6,7,1
ELVDFTX,ECUADOR,4,10,2
ELVDFTX,ECUADOR,5,10,2
ELVDFTX,ECUADOR,6,10,4
ELVDFTX,ECUADOR,8,10,1
ELVDFTX,EL SALVADOR,4,10,1
ELVDFTX,EROFCB,5,6,1
ELVDFTX,NICARAGUA,5,10,2
EPC,BASILLA,3,4,1
EPC,"CHINA, PEOPLES REPUBLIC OF",5,10,1
EPC,EROFCB,3,4,5
EPC,GUATEMALA,4,10,1
EPC,JENADLA,3,4,1
EPC,JENATLA,3,4,2
EPC,JENATLA,4,5,6
EPC,JENATLA,5,6,1
EPC,MEXICO,3,10,1
EPC,OAKHOLD,3,4,1
EPC,PIC,5,6,1
EPC,SERBIA,3,10,2
EPC,SHERBMN,4,5,1
EPC,SPAIN,3,10,1
EPC,SPMHOLD,1,2,1
EPC,SPMHOLD,3,4,4
EPC,SPMHOLD,4,5,1
EPC,SPMHOLD,5,6,1
EPC,WASHOLD,3,4,1
EPCDFTX,EROFCB,4,5,2
EPCDFTX,EROFCB,5,6,1
EPCDFTX,IWAHOLD,3,4,1
EROFCB,ADAMSMS,2,3,38
EROFCB,ADAMSMS,3,4,4
EROFCB,ADAMSMS,4,5,19
EROFCB,ADAMSMS,5,6,6
EROFCB,ADAMSMS,6,7,1
EROFCB,ADAMSMS,7,8,1
EROFCB,BASILLA,2,3,4
EROFCB,BASILLA,3,4,1
EROFCB,"CHINA, PEOPLES REPUBLIC OF",2,10,1
EROFCB,CIBOCNM,2,3,67
EROFCB,CIBOCNM,3,4,12
EROFCB,CIBOCNM,4,5,1
EROFCB,CIBOLNM,2,3,7
EROFCB,CROWGMN,2,3,1
EROFCB,EL SALVADOR,2,10,18
EROFCB,EL SALVADOR,3,10,4
EROFCB,EL SALVADOR,4,10,4
EROFCB,EL SALVADOR,5,10,1
EROFCB,EPC,2,3,104
EROFCB,EPC,3,4,6
EROFCB,EPC,4,5,2
EROFCB,EROFCB,1,2,1
EROFCB,EROFCB,2,3,216
EROFCB,EROFCB,3,4,17
EROFCB,EROFCB,4,5,18
EROFCB,EROFCB,5,6,5
EROFCB,EROFCB,6,7,9
EROFCB,EROFCB,8,9,1
EROFCB,FLO,2,3,3
EROFCB,FLO,3,4,3
EROFCB,FLO,4,5,3
EROFCB,FLO,5,6,1
EROFCB,FSF,2,3,1
EROFCB,FSF,3,4,1
EROFCB,FSF,4,5,1
EROFCB,GUATEMALA,2,10,62
EROFCB,GUATEMALA,3,10,18
EROFCB,GUATEMALA,4,10,5
EROFCB,GUATEMALA,5,10,4
EROFCB,HLGHOLD,2,3,18
EROFCB,HONDURAS,2,10,40
EROFCB,HONDURAS,3,10,16
EROFCB,HONDURAS,4,10,5
EROFCB,HONDURAS,5,10,1
EROFCB,HONDURAS,6,10,2
EROFCB,HONDURAS,9,10,1
EROFCB,HOUHOLD,3,4,1
EROFCB,HOUICDF,2,3,10
EROFCB,HOUICDF,3,4,1
EROFCB,HOUICDF,5,6,2
EROFCB,INDONESIA,2,10,1
EROFCB,IWAHOLD,2,3,22
EROFCB,IWAHOLD,3,4,1
EROFCB,IWAHOLD,4,5,20
EROFCB,IWAHOLD,5,6,6
EROFCB,IWAHOLD,6,7,3
EROFCB,IWAHOLD,7,8,1
EROFCB,JENADLA,2,3,33
EROFCB,JENADLA,3,4,11
EROFCB,JENADLA,4,5,15
EROFCB,JENADLA,5,6,2
EROFCB,JENADLA,6,7,1
EROFCB,JENADLA,7,8,1
EROFCB,JENATLA,2,3,60
EROFCB,JENATLA,3,4,9
EROFCB,JENATLA,4,5,38
EROFCB,JENATLA,5,6,8
EROFCB,JENATLA,6,7,1
EROFCB,JENATLA,7,8,3
EROFCB,JKPCCLA,2,3,8
EROFCB,JKPCCLA,3,4,1
EROFCB,JKPCCLA,4,5,4
EROFCB,JKPCCLA,5,6,1
EROFCB,JKPCCLA,6,7,1
EROFCB,KANDIMN,3,4,1
EROFCB,KANHOLD,2,3,2
EROFCB,KANHOLD,3,4,1
EROFCB,KARNETX,2,3,1
EROFCB,KENYA,2,10,1
EROFCB,KRNRCTX,2,3,26
EROFCB,KRNRCTX,3,4,2
EROFCB,KRNRCTX,4,5,1
EROFCB,LAWINCI,6,7,3
EROFCB,LICEPLA,6,7,3
EROFCB,MEXICO,2,10,339
EROFCB,MEXICO,3,10,36
EROFCB,MEXICO,4,10,69
EROFCB,MEXICO,5,10,12
EROFCB,MEXICO,6,10,6
EROFCB,MEXICO,7,10,5
EROFCB,MEXICO,8,10,1
EROFCB,"MICRONESIA, FEDERATED STATES OF",4,10,1
EROFCB,MONGOLIA,2,10,1
EROFCB,OAKHOLD,2,3,1
EROFCB,OTRPCNM,2,3,108
EROFCB,OTRPCNM,3,4,17
EROFCB,OTRPCNM,4,5,1
EROFCB,OTRPCNM,7,8,1
EROFCB,PIC,2,3,91
EROFCB,PIC,3,4,13
EROFCB,PIC,4,5,54
EROFCB,PIC,5,6,6
EROFCB,PIC,6,7,6
EROFCB,PIC,7,8,1
EROFCB,PIC,8,9,1
EROFCB,PINEPLA,2,3,8
EROFCB,PINEPLA,3,4,2
EROFCB,RUSSIA,2,10,1
EROFCB,RVRCCLA,2,3,8
EROFCB,RVRCCLA,4,5,6
EROFCB,RWCCMLA,2,3,11
EROFCB,RWCCMLA,3,4,2
