"","date","CARJAMN","CROWGMN","FREEBMN","KANDIMN","NOBLEMN","NWRCCMN","RAADCMN","SHERBMN","WAJAIMN"
"1",2022-10-01,1,0,18,71,0,0,0,4,0
"2",2022-10-02,1,0,18,71,0,0,0,4,0
"3",2022-10-03,3,0,18,72,0,0,0,4,0
"4",2022-10-04,2,0,18,80,0,1,0,4,0
"5",2022-10-05,0,0,20,80,0,2,0,4,0
"6",2022-10-06,0,0,16,71,0,2,0,3,0
"7",2022-10-07,0,0,16,71,0,0,0,3,0
"8",2022-10-08,0,0,16,70,0,0,0,3,0
"9",2022-10-09,0,0,16,70,0,0,0,3,0
"10",2022-10-10,1,0,16,70,0,0,0,3,2
"11",2022-10-11,2,0,18,73,0,0,0,3,2
"12",2022-10-12,1,0,18,78,0,0,0,3,0
"13",2022-10-13,0,0,18,77,0,1,0,3,0
"14",2022-10-14,0,0,17,81,0,1,0,3,0
"15",2022-10-15,0,0,17,81,0,0,0,3,0
"16",2022-10-16,0,0,17,81,0,0,0,3,0
"17",2022-10-17,0,0,18,81,0,0,0,3,0
"18",2022-10-18,0,0,18,82,0,0,0,3,1
"19",2022-10-19,0,0,18,90,0,0,0,3,1
"20",2022-10-20,0,0,13,78,0,0,0,3,0
"21",2022-10-21,0,0,15,73,0,0,0,3,0
"22",2022-10-22,0,0,15,73,0,0,0,3,0
"23",2022-10-23,0,0,15,73,0,0,0,3,0
"24",2022-10-24,0,0,17,73,0,0,0,3,0
"25",2022-10-25,0,0,16,72,0,0,0,3,0
"26",2022-10-26,0,0,16,72,0,0,0,3,0
"27",2022-10-27,0,0,16,77,0,0,0,3,0
"28",2022-10-28,0,0,16,79,0,0,0,3,0
"29",2022-10-29,1,0,16,79,0,0,0,3,0
"30",2022-10-30,1,0,16,79,0,0,0,3,0
"31",2022-10-31,1,0,18,81,0,0,0,3,0
"32",2022-11-01,0,0,19,79,0,1,0,3,0
"33",2022-11-02,0,0,19,80,0,1,0,3,0
"34",2022-11-03,0,0,15,74,0,1,0,3,0
