name,latitude,longitude,state.facility,address,"Week of Dec 01, 2025","Week of Dec 08, 2025","Week of Dec 15, 2025","Week of Dec 22, 2025","Week of Dec 29, 2025","Week of Jan 05, 2026","Week of Jan 12, 2026","Week of Jan 19, 2026","Week of Jan 26, 2026","Week of Feb 02, 2026","Week of Feb 09, 2026","Week of Feb 16, 2026","Week of Feb 23, 2026","Week of Mar 02, 2026"
AZ Removal Operation Coord Center (Arocc),33.30339444,-111.6627399,AZ,"6335 South Downwind, Suite 104",0,0,0,2,2,1,2,16,21,12,22,10,17,5
Adams County Correctional Center,31.55764769,-91.221278710000007,MS,20 Hobo Forks Road,0,0,1,5,1,5,15,15,17,13,21,63,23,14
Adelanto ICE Processing Center,34.55993666,-117.4388741,CA,10400 Rancho Road,0,0,0,0,0,0,0,0,2,1,3,3,3,3
Alexandria Staging Facility,31.3175636,-92.53649027,LA,96 George Thompson Dr.,1,10,69,54,20,11,18,16,6,37,23,14,30,51
Bishop Henry Whipple Federal Building,44.89410469,-93.19490987,MN,"1 Federal Drive, Suite 1640",270,354,238,160,220,1021,804,529,589,534,358,153,72,33
Boone County Jail,39.03647808,-84.72845962,KY,3020 Conrad Lane,0,0,8,8,8,8,7,7,7,7,7,5,4,4
Broadview Service Staging,41.86800572,-87.86604184,IL,1930 Beach Street,0,7,6,0,0,0,0,0,0,1,0,0,0,0
Brooks County Detention Center,27.24768503,-98.12648551,TX,901 County Road 201,0,0,4,4,2,1,0,0,0,0,0,0,0,0
Campbell County Detention Center,39.08871276,-84.49675045,KY,601 Central Avenue,0,0,8,8,8,8,8,5,5,5,3,3,1,0
Cass County Jail,41.01179494,-95.88295697,NE,336 Main Street,0,0,0,0,15,15,11,10,10,6,2,1,0,0
Central Arizona Florence Correctional Center,33.0440833,-111.3717718,AZ,1100 Bowling Road,0,0,0,0,0,0,0,1,2,2,0,0,1,0
Central Louisiana ICE Processing Center,31.70820361,-92.15343938,LA,830 Pinehill Road,0,0,3,0,5,9,41,42,40,5,5,12,21,14
Chase County Jail,38.367077,-96.53842901,KS,301 South Walnut,0,1,1,1,1,1,0,0,0,0,0,1,1,2
Cibola County Correctional Center,35.179948,-107.9073231,NM,2000 Cibola Loop,0,0,0,0,0,0,22,22,74,81,74,50,56,50
Cibola County Detention Center,35.179948,-107.9073231,NM,2000 Cibola Loop,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Coastal Bend Detention Center,27.73672232,-97.75480211,TX,4909 Fm2826,0,1,1,1,1,28,12,1,1,1,1,6,6,3
Corecivic Webb County Detention Center,27.36981816,-99.49028435,TX,9998 S. Highway 83,0,0,0,0,0,0,34,34,30,23,20,19,10,10
Crow Wing County Jail,46.35660921,-94.20530053,MN,313 Laurel Street,51,62,61,58,55,39,35,42,41,37,23,22,12,11
Dakota County Jail,42.41607108,-96.41979172,NE,1601 Broadway,4,9,8,7,7,6,6,7,4,5,4,4,4,3
Douglas County Jail,46.72168099,-92.09838796,WI,1316 N 14th St,9,20,17,15,23,24,18,16,20,16,14,12,11,6
