"","month_year","count"
"1","2022-10",93
"2","2022-11",85
"3","2022-12",84
"4","2023-01",115
"5","2023-02",89
"6","2023-03",80
"7","2023-04",69
"8","2023-05",99
"9","2023-06",110
"10","2023-07",93
"11","2023-08",119
"12","2023-09",114
"13","2023-10",114
"14","2023-11",154
"15","2023-12",125
"16","2024-01",123
"17","2024-02",116
"18","2024-03",129
"19","2024-04",133
"20","2024-05",175
"21","2024-06",136
"22","2024-07",152
"23","2024-08",156
"24","2024-09",163
"25","2024-10",163
"26","2024-11",140
"27","2024-12",142
"28","2025-01",171
"29","2025-02",169
"30","2025-03",209
"31","2025-04",158
"32","2025-05",222
"33","2025-06",205
"34","2025-07",199
"35","2025-08",170
"36","2025-09",192
"37","2025-10",189
"38","2025-11",195
"39","2025-12",163
"40","2026-01",118
"41","2026-02",493
"42","2026-03",108
