"","apprehension_date","arrests","TEXAS","WISCONSIN","ILLINOIS","MINNESOTA","OREGON"
"1",2025-08-02,1,NA,NA,5.57142857142857,NA,NA
"2",2025-08-02,3,NA,4.14285714285714,NA,8.14285714285714,6.28571428571429
"3",2025-08-02,181,250.857142857143,NA,NA,NA,NA
"4",2025-08-03,4,NA,NA,6.42857142857143,NA,NA
"5",2025-08-03,1,NA,NA,NA,8.85714285714286,3.14285714285714
"6",2025-08-03,139,255.285714285714,NA,NA,NA,NA
"7",2025-08-04,11,NA,NA,7,10.2857142857143,NA
"8",2025-08-04,1,NA,4.57142857142857,NA,NA,3.85714285714286
"9",2025-08-04,195,255,NA,NA,NA,NA
"10",2025-08-05,7,NA,NA,6.85714285714286,NA,NA
"11",2025-08-05,19,NA,NA,NA,10.7142857142857,NA
"12",2025-08-05,2,NA,NA,NA,NA,3.57142857142857
"13",2025-08-05,381,252,NA,NA,NA,NA
"14",2025-08-05,3,NA,4.85714285714286,NA,NA,NA
"15",2025-08-06,10,NA,NA,7.57142857142857,NA,NA
"16",2025-08-06,13,NA,NA,NA,10.8571428571429,NA
"17",2025-08-06,1,NA,NA,NA,NA,3.28571428571429
"18",2025-08-06,322,245.714285714286,NA,NA,NA,NA
"19",2025-08-06,7,NA,4.57142857142857,NA,NA,NA
"20",2025-08-07,11,NA,NA,8,NA,NA
"21",2025-08-07,18,NA,NA,NA,11.8571428571429,NA
"22",2025-08-07,13,NA,NA,NA,NA,4
"23",2025-08-07,282,244.142857142857,NA,NA,NA,NA
"24",2025-08-07,9,NA,4.28571428571429,NA,NA,NA
"25",2025-08-08,4,NA,NA,7.57142857142857,NA,4.57142857142857
"26",2025-08-08,10,NA,NA,NA,10.8571428571429,NA
"27",2025-08-08,264,246.142857142857,NA,NA,NA,NA
"28",2025-08-08,8,NA,5,NA,NA,NA
"29",2025-08-09,6,NA,NA,7.57142857142857,NA,NA
"30",2025-08-09,4,NA,NA,NA,9.85714285714286,NA
"31",2025-08-09,1,NA,5.42857142857143,NA,NA,5.42857142857143
"32",2025-08-09,137,238.571428571429,NA,NA,NA,NA
"33",2025-08-10,7,NA,NA,8.28571428571429,NA,NA
"34",2025-08-10,128,233,NA,NA,NA,NA
"35",2025-08-10,1,NA,5.14285714285714,NA,NA,NA
"36",2025-08-11,8,NA,NA,8.57142857142857,9.28571428571429,NA
"37",2025-08-11,6,NA,5.14285714285714,NA,NA,6.14285714285714
"38",2025-08-11,209,231.857142857143,NA,NA,NA,NA
"39",2025-08-12,7,NA,NA,8.57142857142857,NA,NA
"40",2025-08-12,4,NA,NA,NA,7.28571428571429,NA
"41",2025-08-12,5,NA,NA,NA,NA,4.71428571428571
"42",2025-08-12,328,230,NA,NA,NA,NA
"43",2025-08-12,6,NA,4.71428571428571,NA,NA,NA
"44",2025-08-13,15,NA,NA,8.14285714285714,NA,NA
"45",2025-08-13,12,NA,NA,NA,6.14285714285714,NA
"46",2025-08-13,8,NA,NA,NA,NA,4.28571428571429
"47",2025-08-13,283,237,NA,NA,NA,NA
"48",2025-08-13,5,NA,4.71428571428571,NA,NA,NA
"49",2025-08-14,13,NA,NA,7.28571428571429,NA,NA
"50",2025-08-14,9,NA,4.71428571428571,NA,5.85714285714286,NA
"51",2025-08-14,6,NA,NA,NA,NA,4.28571428571429
"52",2025-08-14,274,237,NA,NA,NA,NA
"53",2025-08-15,4,NA,NA,7.14285714285714,5.14285714285714,NA
"54",2025-08-15,3,NA,NA,NA,NA,3.57142857142857
"55",2025-08-15,251,233.571428571429,NA,NA,NA,NA
"56",2025-08-15,5,NA,4.57142857142857,NA,NA,NA
"57",2025-08-16,3,NA,NA,7.42857142857143,NA,NA
"58",2025-08-16,2,NA,NA,NA,6.14285714285714,NA
"59",2025-08-16,1,NA,4.71428571428571,NA,NA,3.28571428571429
"60",2025-08-16,186,233.714285714286,NA,NA,NA,NA
"61",2025-08-17,1,NA,NA,6.57142857142857,NA,3.14285714285714
"62",2025-08-17,2,NA,NA,NA,5.14285714285714,NA
"63",2025-08-17,128,234,NA,NA,NA,NA
"64",2025-08-18,7,NA,NA,5.85714285714286,NA,NA
"65",2025-08-18,3,NA,NA,NA,4.85714285714286,NA
"66",2025-08-18,1,NA,4.57142857142857,NA,NA,3
"67",2025-08-18,185,238.714285714286,NA,NA,NA,NA
"68",2025-08-19,9,NA,NA,5.71428571428571,NA,NA
"69",2025-08-19,11,NA,NA,NA,5,NA
"70",2025-08-19,3,NA,NA,NA,NA,3.28571428571429
"71",2025-08-19,329,240.285714285714,NA,NA,NA,NA
"72",2025-08-19,5,NA,3.57142857142857,NA,NA,NA
"73",2025-08-20,9,NA,NA,5.42857142857143,NA,NA
"74",2025-08-20,5,NA,NA,NA,5,NA
"75",2025-08-20,7,NA,3.14285714285714,NA,NA,3.57142857142857
"76",2025-08-20,285,237.714285714286,NA,NA,NA,NA
"77",2025-08-21,8,NA,NA,6.71428571428571,NA,NA
"78",2025-08-21,7,NA,NA,NA,5,NA
