length_of_stay,count
5,128
8,121
6,113
10,109
9,109
4,109
12,101
7,101
13,72
3,68
11,59
14,59
21,58
18,57
2,56
16,56
17,54
24,51
20,50
22,49
25,45
23,45
19,44
31,39
15,37
30,34
28,34
27,32
41,30
29,29
26,28
36,28
34,27
37,27
0,26
46,25
45,25
38,24
35,24
43,24
49,23
32,23
54,23
40,23
42,23
44,23
33,23
47,22
50,20
51,20
53,19
52,18
55,18
1,17
39,17
56,15
48,12
57,12
58,11
60,9
61,8
59,7
68,6
65,6
64,5
67,5
62,5
69,5
72,5
78,5
66,4
70,4
76,4
80,4
81,4
82,4
85,3
74,3
75,3
71,2
73,2
77,2
79,2
83,2
91,2
63,1
86,1
87,1
89,1
90,1
84,1
93,1
94,1
