name,avg_stint_days,median_stint_days,max_stint_days,n_stints,n_people,state
Bishop Henry Whipple Federal Building,0.5192062586788335,0.30833333333333335,30.516666666666666,5041,3531,MN
Enforcement and Removal Operations El Paso Camp East Montana,8.2204829075135315,5.624305555555555,60.518750000000004,3490,2342,TX
Sherburne County Jail Services,12.28626385739481,4.967361111111111,86.54375,441,402,MN
Port Isabel Service Processing Center,6.286126429738562,1.5680555555555555,91.06319444444445,544,394,TX
Kandiyohi County Jail,12.71608416252073,4.916666666666667,75.79097222222222,335,323,MN
Freeborn County Jail Services,12.6204421854083,4.526041666666667,84.26388888888889,332,322,MN
San Antonio Detention and Removal Operations Hold Room,0.7898168816137567,0.4583333333333333,32.66527777777778,336,221,TX
Alexandria Staging Facility,3.1249937717987044,1.59375,11.685416666666667,223,212,LA
Crow Wing County Jail,12.072233992467043,7.911111111111111,76.54861111111111,177,173,MN
Pine Prairie ICE Processing Center,23.203976608187133,21.597916666666666,64.05624999999999,95,95,LA
Adams County Correctional Center,5.549897411616161,2.75625,43.79583333333333,88,85,MS
AZ Removal Operation Coord Center (Arocc),1.382220643939394,1.0920138888888888,7.726388888888889,88,82,AZ
Karnes County Residential Center2,15.923972800925926,12.557638888888889,47.37222222222223,96,81,TX
Torrance County Detention Facility,23.16815104166667,22.01006944444444,50.20902777777778,80,80,NM
South Texas ICE Processing Center,12.346412037037037,8.91875,43.81875,96,79,TX
Central Louisiana ICE Processing Center,8.316939170182842,10.705555555555556,25.600694444444443,79,79,LA
Omaha Field Office Hold,0.20852585258525852,0.19930555555555554,1.35625,101,77,NE
Otero County Processing Center,20.52747747747748,18.351041666666667,51.60069444444445,74,74,NM
Cibola County Correctional Center,10.49765625,7.926388888888888,38.65138888888889,72,54,NM
El Paso Service Processing Center,14.656263616557734,7.771527777777778,47.666666666666664,51,51,TX
Douglas County Jail,19.96211970899471,9.55625,71.55902777777779,42,42,WI
Montgomery Hold Room,0,0,0,35,35,TX
Houston Contract Detention Facility,6.297099673202614,4.994791666666666,21.913888888888888,34,34,TX
Kansas City Hold Room,0.5045219638242895,0.22291666666666665,10.021527777777779,43,33,MO
Jackson Parish Correctional Center,9.399843189964157,6.550694444444445,32.81944444444444,31,31,LA
South Texas Family Residential Center1,18.203584229390682,11.016666666666666,53.37847222222222,31,30,TX
Richwood Correctional Center,6.585296934865901,5.802777777777778,35.57986111111111,29,29,LA
Indianapolis Hold Room,0.17234623015873016,0.16006944444444443,0.3034722222222222,28,28,IN
Woodbury County Jail,23.279766414141413,12.787847222222222,79.57222222222222,22,22,IA
Coastal Bend Detention Center,5.312579365079365,4.263888888888888,30.65416666666667,35,22,TX
Florence Service Processing Center,3.0298941798941796,0.37916666666666665,16.614583333333332,21,21,AZ
South Louisiana ICE Processing Center,5.940410052910053,5.538888888888889,21.910416666666666,21,21,LA
Corecivic Webb County Detention Center,21.002029914529917,18.06597222222222,47.080555555555556,26,19,TX
Harlingen Hold Room,0.9873333333333333,0.96875,1.4583333333333333,25,19,TX
McCook Detention Center,34.826900584795325,29.575,80.75208333333333,19,19,NE
Florence Staging Facility,4.469444444444444,3.5340277777777778,15.763194444444444,19,18,AZ
El Valle Detention Facility,15.300154320987655,15.652083333333334,27.831944444444446,18,18,TX
Cass County Jail,20.340234374999998,24.89965277777778,48.895833333333336,16,16,NE
Greene County Jail,43.905462962962964,46.975,78.61944444444444,15,15,MO
Broadview Service Staging,0.23715277777777777,0.2534722222222222,0.2625,14,14,IL
Kay County Detention Center,15.8175,7.424305555555556,64.3625,15,14,OK
Grayson County Detention Center,44.26064814814815,49.300694444444446,77.87083333333334,12,12,KY
River Correctional Center,3.361689814814815,2.629513888888889,10.638194444444444,12,12,LA
Sioux County Jail,39.709837962962965,35.98090277777778,81.27083333333333,12,12,IA
Dakota County Jail,28.69905303030303,24.71875,79.25,11,11,NE
Pottawattamie County Jail,2.999431818181818,0.7590277777777777,24.674305555555552,11,11,IA
Winn Correctional Center,6.667234848484849,2.6131944444444444,29.977083333333336,11,11,LA
Sarpy County Department of Corrections,28.681458333333335,16.946527777777778,62.80972222222223,10,10,NE
Polk County Jail,29.12824074074074,29.868055555555557,49.95972222222222,9,9,IA
LA Salle County Regional Detention Center,13.198472222222222,16.96527777777778,23.302777777777777,10,8,TX
Kenton County Detention Center,39.46006944444444,33.765972222222224,71.82986111111111,8,8,KY
Campbell County Detention Center,46.720052083333336,47.728125,71.83333333333333,8,8,KY
T Don Hutto Detention Center,16.48923611111111,12.86076388888889,33.97430555555555,10,8,TX
Cibola County Detention Center,0.5843253968253969,0.6951388888888889,0.7152777777777778,7,7,NM
Enforcement and Removal Operations Hold Room (Springfield MO),0.01724537037037037,0.005555555555555555,0.07777777777777778,6,6,MO
McAllen Hold Room,0.25083333333333335,0.3298611111111111,0.34722222222222227,5,5,TX
Houston Field Office Hold Room,0.032916666666666664,0.04097222222222222,0.04097222222222222,5,5,TX
El Paso County Detention Facility,4.484375,0.001736111111111111,17.933333333333334,4,4,TX
Phoenix District Office,1.34375,1.3315972222222223,1.9027777777777777,4,4,AZ
Grand Forks Hold Room,0.08107638888888888,0.078125,0.13541666666666666,4,4,ND
Oakdale Holding Room,0.10034722222222221,0.013541666666666665,0.3743055555555555,4,4,LA
